محمد بن
الله عنه
قال ابن
لا يجوز
الله بن
الصلاة والسلام
لا يكون
حدثنا محمد
أحمد بن
حدثنا عبد
لا يصح
قال رسول
والله أعلم
صلى الله
يحيى بن
وقال ابن
ما ذكره
لا يجب
الله الحافظ
كما قاله
ولا يجوز
فلا يجوز
ما قاله
بكر بن
يكن له
عليه السلام
حنيفة رحمه
وهو قول
حدثنا ابن
قال رحمه
تعالى عنه
فقال له
فلا يكون
يجوز له
قال سمعت
لا يمكن
فلا يصح
فقال رسول
الحسن بن
قال له
قال الشيخ
ثنا محمد
علي بن
على بن
ثنا عبد
وهو ظاهر
لا يلزم
قال الله
لا يلزمه
حدثنا سفيان
حدثنا شعبة
رحمهما الله
سعيد بن
لا يحل
حدثنا أحمد
الرحمن بن
لا يملك
قاله ابن
ما نصه
لا يثبت
لا يشترط
لا يضمن
يزيد بن
وهو الصحيح
عمرو بن
قال الزركشي
ولا يصح
إبراهيم بن
إلا قوله
لا يمنع
لا تقبل
عمر بن
حماد بن
قال الأذرعي
لا يقع
الموصى له
وقال الشافعي
ولا يكون
كان رسول
فيما يظهر
يوسف رحمه
لا يحنث
إسماعيل بن
كما ذكره
لا تصح
وقد يقال
لا يدخل
يونس بن
قال أحمد
قد يقال
وسلم يقول
لا تجوز
قال المصنف
ولا يلزم
وسلم أنه
رواه أحمد
ترى أنه
حدثنا يزيد
أنه يجوز
قال بعض
لا يرجع
حدثنا يونس
إسحاق بن
لا يقال
ولا يشترط
لم يلزمه
الشيخ تقي
أن قوله
ثنا ابن
لا تجب
ولا يجب
لا يوجب
يقال له
قال الإمام
لا يقبل
قد يكون
حدثنا الحسن
إنما يكون
أخبرنا محمد
رواه البخارى
سليمان بن
فالقول قول
لا يضر
حدثنا إسماعيل
والله سبحانه
فلا يجب
عثمان بن
جاز له
لا يصلح
لا تكون
أذن له
ما يكون
وهو المذهب
ما قبله
حدثنا علي
أخبرنا عبد
محمد رحمه
وما ذكره
حدثنا حماد
لأنا نقول
لا يسقط
وهو الأصح
حدثنا إبراهيم
ما يدل
لا يحتاج
ثنا أحمد
شيء له
إلا الله
به ابن
حدثنا عفان
لا يبطل
والظاهر أنه
لا يصير
موسى بن
فقال ابن
لا يقدر
هو الصحيح
ولا يقال
وهو المعتمد
هذا المذهب
ذكره المصنف
أخبرنا أحمد
قال عبد
وهذا قول
لا يتصور
يكون له
قال صاحب
فلا يلزم
رواه ابن
ومحمد بن
فلا يلزمه
يحل له
أخبرنا ابن
قال قلت
هو المعتمد
لا يعلم
لا يكره
هو ظاهر
وهو قوله
لا يحصل
تعالى أعلم
قال الإسنوي
قيل له
ذكره ابن
لا يحتمل
كما أفاده
وهو الصواب
أنه يجب
هشام بن
الذي ذكره
لا يعتبر
فلا تصح
حدثنا يعقوب
وقال بعض
كان يقول
وقد يكون
ولا يلزمه
وتعالى أعلم
كما يعلم
يعقوب بن
معاوية بن
حدثنا عبيد
الحسين بن
سفيان بن
زكريا بن
لا يأكل
قال الشارح
قال الرافعي
ش قوله
وروى ابن
الإمام أحمد
لا يعرف
ثنا سفيان
كما نقله
بد منه
يوسف بن
ما يجب
بشر بن
روى ابن
يقتضي أنه
لا يستحق
المقر له
لا يفيد
قال الشافعي
ولا يمكن
ولا يضر
لا تبطل
حدثنا سليمان
زيد بن
فقال النبي
يؤخذ منه
حدثنا سعيد
ما نقله
فإنه يجوز
ولا يرجع
على الروذبارى
في معناه
الربيع بن
يعني أنه
جعفر بن
يقبل قوله
وقال زفر
لأن قوله
حدثنا إسحاق
قال النبي
وهو الظاهر
للموصى له
لا يظهر
وعليه الأصحاب
علم أنه
لا ينفذ
لا يمكنه
الله أكبر
لا يخرج
ثنا يزيد
كانت له
المسألة الثانية
من يقول
نهى رسول
وليس المراد
ما رواه
فلا يثبت
وما قاله
قال البلقيني
فلا يشترط
وهو ابن
حجاج بن
فلا يقبل
يجوز بيعه
وقال الشيخ
العزيز بن
العباس بن
فقيل له
الأصل عدم
ذكره الشارح
فقال عمر
كما قدمناه
هو ابن
ما يشمل
لا يتحقق
لا يدل
ما ذكرناه
حدثنا على
خالد بن
يجوز بيع
رواه البخاري
فأنزل الله
فالقول قوله
ما قدمناه
وذكر ابن
هو الظاهر
لا يجبر
الموهوب له
الشافعي رحمه
كما بحثه
لا يتوقف
قوله لأنه
وعليه جماهير
لا يقطع
بطلت صلاته
وهو خلاف
قال السبكي
لا تحل
كما اقتضاه
حدثنا يوسف
قال الكمال
لا يصدق
حدثنا عثمان
لا يتعلق
والحاصل أنه
رحمهم الله
كان النبي
فلا يمكن
عيسى بن
ادعى أنه
قال النووي
له حق
لا يحرم
وقد يجاب
يقع الطلاق
وأما قوله
يوسف أنه
والأصح أنه
هو المشهور
هذا قول
كما يفيده
لا يختلف
وهو مذهب
لا يوجد
شيخنا الشهاب
لا يختص
مالك بن
ما يقع
أخبرنا على
